time,auc
1.000000,0.642051282051282
2.000000,0.7446551724137931
3.000000,0.7645217391304346
4.000000,0.8814551907719609
5.000000,0.8780797101449276
6.000000,0.8784458834412581
7.000000,0.8712206047032475
8.000000,0.902654867256637
9.000000,0.8607522796352584
10.000000,0.827103699444125
11.000000,0.8977673325499412
12.000000,0.8854854854854854
13.000000,0.9013104013104013
14.000000,0.8791322314049587
15.000000,0.90169133192389
16.000000,0.9027096223597183
17.000000,0.9521963824289406
18.000000,0.8895892197348402
19.000000,0.9284774023694603
20.000000,0.9400269541778976
21.000000,0.9131519274376417
22.000000,0.8809523809523809
23.000000,0.9134615384615384
24.000000,0.8905991001657589
25.000000,0.8900047824007652
26.000000,0.8782902680511954
27.000000,0.8997524752475248
28.000000,0.9205
29.000000,0.92
30.000000,0.8986842105263158
31.000000,0.9314194577352473
32.000000,0.9210526315789473
33.000000,0.9407060121345835
34.000000,0.9109977324263039
35.000000,0.9116618075801749
36.000000,0.9432773109243697
37.000000,0.9569436021831413
38.000000,0.961703431372549
39.000000,0.9766414141414141
40.000000,0.9420572916666666
41.000000,0.9818548387096774
42.000000,0.9604166666666667
43.000000,0.9708771929824561
44.000000,0.9762411347517732
45.000000,0.9827586206896552
46.000000,0.9525075987841946
47.000000,0.9746543778801843
48.000000,0.9458383114297093
49.000000,0.9665861513687601
50.000000,0.9763939763939763
51.000000,0.9856297548605241
52.000000,0.9854700854700855
53.000000,0.9796888504753674
54.000000,0.9824719101123596
55.000000,0.9845454545454545
56.000000,0.9753787878787878
57.000000,0.9592911877394636
58.000000,0.9626937984496126
59.000000,0.9715686274509805
60.000000,0.9692460317460317
61.000000,0.9311594202898551
62.000000,0.9518398268398269
63.000000,0.9507119386637458
64.000000,0.937361419068736
65.000000,0.9419279907084783
66.000000,0.9841269841269842
67.000000,0.9808641975308643
68.000000,0.96375
69.000000,0.9683544303797469
70.000000,0.9237179487179487
71.000000,0.9532467532467531
72.000000,0.9453178400546821
73.000000,0.9155124653739612
74.000000,0.9740350877192983
75.000000,0.94
76.000000,0.9857357357357357
77.000000,0.9888712241653418
78.000000,0.9830781627719581
79.000000,0.9417808219178082
80.000000,0.9765625
81.000000,0.9990740740740741
82.000000,1.0
83.000000,0.9989939637826962
84.000000,0.9979591836734695
85.000000,1.0
86.000000,1.0
87.000000,1.0
88.000000,1.0
89.000000,1.0
90.000000,1.0
91.000000,1.0
92.000000,1.0
93.000000,1.0
94.000000,1.0
95.000000,1.0
96.000000,1.0
97.000000,1.0
98.000000,1.0
99.000000,1.0
100.000000,1.0
101.000000,1.0
102.000000,1.0
103.000000,1.0
104.000000,1.0
105.000000,1.0
106.000000,1.0
107.000000,1.0
108.000000,1.0
109.000000,1.0
110.000000,1.0
111.000000,1.0
112.000000,1.0
113.000000,1.0
114.000000,1.0
115.000000,1.0
116.000000,1.0
117.000000,1.0
118.000000,1.0
119.000000,1.0
120.000000,1.0
121.000000,1.0
122.000000,1.0
123.000000,1.0
124.000000,1.0
125.000000,1.0
126.000000,1.0
127.000000,1.0
128.000000,1.0
129.000000,1.0
130.000000,1.0
131.000000,1.0
132.000000,1.0
133.000000,1.0
134.000000,1.0
135.000000,None
136.000000,None
137.000000,None
138.000000,None
139.000000,None
140.000000,None
141.000000,None
142.000000,None
143.000000,None
144.000000,None
145.000000,None
146.000000,None
147.000000,None
148.000000,None
149.000000,None
150.000000,None
151.000000,None
152.000000,None
153.000000,None
154.000000,None
155.000000,None
156.000000,None
157.000000,None
158.000000,None
159.000000,None
160.000000,None
161.000000,None
162.000000,None
163.000000,None
164.000000,None
165.000000,None
166.000000,None
167.000000,None
168.000000,None
