time,auc
1.000000,0.5799526707234618
2.000000,0.7843103448275861
3.000000,0.7636521739130435
4.000000,0.7766666666666666
5.000000,0.7953813104189044
6.000000,0.8656312082355065
7.000000,0.8796091445427728
8.000000,0.7829241071428572
9.000000,0.7869744744744746
10.000000,0.8255681818181819
11.000000,0.8262614678899083
12.000000,0.8586765567050556
13.000000,0.8713601914639011
14.000000,0.8717793880837359
15.000000,0.9049167005282406
16.000000,0.9030114226375908
17.000000,0.8855140186915889
18.000000,0.8582761578044596
19.000000,0.8712121212121212
20.000000,0.8535991140642303
21.000000,0.8805903398926654
22.000000,0.8758184691804018
23.000000,0.8942088463292294
24.000000,0.8858543417366946
25.000000,0.8554926921263555
26.000000,0.9125815020526443
27.000000,0.9402439024390243
28.000000,0.8654999999999999
29.000000,0.9094871794871795
30.000000,0.9478947368421052
31.000000,0.9354054054054054
32.000000,0.91
33.000000,0.9337142857142858
34.000000,0.9376470588235293
35.000000,0.9663636363636364
36.000000,0.9519436792164064
37.000000,0.9580176767676767
38.000000,0.9687194525904202
39.000000,0.9167215273206057
40.000000,0.9567675424010642
41.000000,0.9704301075268817
42.000000,0.954861111111111
43.000000,0.9578947368421052
44.000000,0.9441016333938294
45.000000,0.9703007518796993
46.000000,0.9411094224924013
47.000000,0.9621749408983452
48.000000,0.9447626841243864
49.000000,0.9673283705541771
50.000000,0.9761705685618729
51.000000,0.9865217391304348
52.000000,0.9859340659340659
53.000000,0.9826666666666666
54.000000,0.9953703703703703
55.000000,0.9932367149758454
56.000000,0.9912066438690766
57.000000,0.991106719367589
58.000000,0.9900049975012494
59.000000,0.993933265925177
60.000000,0.9918158567774936
61.000000,0.9906832298136646
62.000000,0.9897186147186147
63.000000,0.9903628117913833
64.000000,0.9919678714859438
65.000000,0.9936120789779326
66.000000,0.9963414634146341
67.000000,0.9969135802469136
68.000000,0.99545159194282
69.000000,0.9958847736625513
70.000000,0.9916666666666667
71.000000,0.9970588235294118
72.000000,0.9970215934475056
73.000000,0.9984917043740573
74.000000,0.9967948717948718
75.000000,1.0
76.000000,0.997532894736842
77.000000,0.9982456140350877
78.000000,0.9991111111111112
79.000000,0.9981981981981982
80.000000,0.9981735159817351
81.000000,0.9990215264187866
82.000000,0.9989462592202317
83.000000,1.0
84.000000,1.0
85.000000,1.0
86.000000,1.0
87.000000,1.0
88.000000,1.0
89.000000,1.0
90.000000,1.0
91.000000,1.0
92.000000,1.0
93.000000,1.0
94.000000,1.0
95.000000,1.0
96.000000,1.0
97.000000,1.0
98.000000,1.0
99.000000,1.0
100.000000,1.0
101.000000,1.0
102.000000,1.0
103.000000,1.0
104.000000,1.0
105.000000,1.0
106.000000,1.0
107.000000,1.0
108.000000,1.0
109.000000,1.0
110.000000,1.0
111.000000,1.0
112.000000,1.0
113.000000,1.0
114.000000,1.0
115.000000,1.0
116.000000,1.0
117.000000,1.0
118.000000,1.0
119.000000,1.0
120.000000,1.0
121.000000,1.0
122.000000,1.0
123.000000,1.0
124.000000,1.0
125.000000,1.0
126.000000,1.0
127.000000,1.0
128.000000,1.0
129.000000,1.0
130.000000,1.0
131.000000,1.0
132.000000,1.0
133.000000,1.0
134.000000,1.0
135.000000,1.0
136.000000,1.0
137.000000,1.0
138.000000,None
139.000000,None
140.000000,None
141.000000,None
142.000000,None
143.000000,None
144.000000,None
145.000000,None
146.000000,None
147.000000,None
148.000000,None
149.000000,None
150.000000,None
151.000000,None
152.000000,None
153.000000,None
154.000000,None
155.000000,None
156.000000,None
157.000000,None
158.000000,None
159.000000,None
160.000000,None
161.000000,None
162.000000,None
163.000000,None
164.000000,None
165.000000,None
166.000000,None
167.000000,None
168.000000,None
