time,auc
1.000000,0.612237998647735
2.000000,0.6781034482758621
3.000000,0.7655652173913043
4.000000,0.7776397515527951
5.000000,0.8755434782608695
6.000000,0.8614246068455134
7.000000,0.8236294896030245
8.000000,0.8842512077294686
9.000000,0.9083820662768032
10.000000,0.8981317600786628
11.000000,0.926984126984127
12.000000,0.9093093093093093
13.000000,0.9034343434343434
14.000000,0.9039755351681957
15.000000,0.9070058381984988
16.000000,0.8722643097643098
17.000000,0.9220499569336779
18.000000,0.9115409693544883
19.000000,0.9383622607921673
20.000000,0.9341868823000898
21.000000,0.9405895691609977
22.000000,0.9421602787456446
23.000000,0.9469981238273921
24.000000,0.9459134615384616
25.000000,0.9383495145631067
26.000000,0.9360219068956933
27.000000,0.9391926417986715
28.000000,0.9558823529411764
29.000000,0.9609171443460136
30.000000,0.9686914637409687
31.000000,0.9653465346534653
32.000000,0.9619444444444445
33.000000,0.9734285714285714
34.000000,0.9627705627705627
35.000000,0.9732620320855614
36.000000,0.9672482399755127
37.000000,0.9730983302411873
38.000000,0.9615745079662605
39.000000,0.9646464646464646
40.000000,0.9588516746411483
41.000000,0.9626047711154094
42.000000,0.9566634082763115
43.000000,0.956989247311828
44.000000,0.9601109954908081
45.000000,0.9635343618513323
46.000000,0.9764492753623188
47.000000,0.972893772893773
48.000000,0.9722222222222222
49.000000,0.978544061302682
50.000000,0.9817460317460318
51.000000,0.9847512038523275
52.000000,0.9825487012987013
53.000000,0.9844006568144499
54.000000,0.9850498338870431
55.000000,0.9718487394957984
56.000000,0.9699346405228758
57.000000,0.9809954751131221
58.000000,0.9783529411764706
59.000000,0.9887254901960785
60.000000,0.9895833333333334
61.000000,0.9854417670682731
62.000000,0.9847560975609757
63.000000,0.9915164369034994
64.000000,0.9946323134728932
65.000000,0.9891304347826088
66.000000,0.9900935608145295
67.000000,0.9792865362485615
68.000000,0.9801084990958409
69.000000,0.989010989010989
70.000000,0.9826839826839826
71.000000,0.9941558441558441
72.000000,0.993421052631579
73.000000,0.9951523545706371
74.000000,0.9971929824561404
75.000000,0.9637037037037037
76.000000,0.990990990990991
77.000000,0.9896661367249603
78.000000,0.9940878378378378
79.000000,0.9871575342465754
80.000000,0.9878472222222222
81.000000,0.9991197183098591
82.000000,0.9981220657276996
83.000000,0.9980952380952381
84.000000,0.9961352657004832
85.000000,1.0
86.000000,1.0
87.000000,1.0
88.000000,1.0
89.000000,1.0
90.000000,1.0
91.000000,1.0
92.000000,1.0
93.000000,1.0
94.000000,1.0
95.000000,1.0
96.000000,1.0
97.000000,1.0
98.000000,1.0
99.000000,1.0
100.000000,1.0
101.000000,1.0
102.000000,1.0
103.000000,1.0
104.000000,1.0
105.000000,1.0
106.000000,1.0
107.000000,1.0
108.000000,1.0
109.000000,1.0
110.000000,1.0
111.000000,1.0
112.000000,1.0
113.000000,1.0
114.000000,1.0
115.000000,1.0
116.000000,1.0
117.000000,1.0
118.000000,1.0
119.000000,1.0
120.000000,1.0
121.000000,1.0
122.000000,1.0
123.000000,1.0
124.000000,1.0
125.000000,1.0
126.000000,1.0
127.000000,1.0
128.000000,1.0
129.000000,1.0
130.000000,1.0
131.000000,1.0
132.000000,1.0
133.000000,1.0
134.000000,1.0
135.000000,1.0
136.000000,1.0
137.000000,1.0
138.000000,1.0
139.000000,1.0
140.000000,1.0
141.000000,1.0
142.000000,None
143.000000,None
144.000000,None
145.000000,None
146.000000,None
147.000000,None
148.000000,None
149.000000,None
150.000000,None
151.000000,None
152.000000,None
153.000000,None
154.000000,None
155.000000,None
156.000000,None
157.000000,None
158.000000,None
159.000000,None
160.000000,None
161.000000,None
162.000000,None
163.000000,None
164.000000,None
165.000000,None
166.000000,None
167.000000,None
168.000000,None
