time,auc
1.000000,0.551965811965812
2.000000,0.7070689655172414
3.000000,0.7074243490499649
4.000000,0.6473824312333629
5.000000,0.7615942028985508
6.000000,0.8470394736842105
7.000000,0.8051511758118701
8.000000,0.8018688024408848
9.000000,0.8260869565217391
10.000000,0.8109472049689441
11.000000,0.8392087739913827
12.000000,0.8884884884884886
13.000000,0.9343434343434344
14.000000,0.9086646279306828
15.000000,0.9218106995884774
16.000000,0.9019730010384215
17.000000,0.8961342395921835
18.000000,0.8821995218430775
19.000000,0.8872312417727073
20.000000,0.8688230008984726
21.000000,0.8802721088435375
22.000000,0.9031593406593406
23.000000,0.9075984990619137
24.000000,0.8728392138290314
25.000000,0.9347087378640776
26.000000,0.9327856609410008
27.000000,0.951734539969834
28.000000,0.9047981721249049
29.000000,0.916362688900469
30.000000,0.9263157894736841
31.000000,0.9494594594594595
32.000000,0.9458333333333334
33.000000,0.9562857142857142
34.000000,0.9526695526695526
35.000000,0.9618075801749272
36.000000,0.9463917525773196
37.000000,0.9575500303214068
38.000000,0.9623161764705882
39.000000,0.946749226006192
40.000000,0.934609250398724
41.000000,0.9720394736842106
42.000000,0.9769100169779287
43.000000,0.9708304735758407
44.000000,0.9712105445716268
45.000000,0.9655913978494624
46.000000,0.9634057971014492
47.000000,0.9527472527472527
48.000000,0.9781481481481482
49.000000,0.9636015325670498
50.000000,0.9583333333333334
51.000000,0.9815409309791332
52.000000,0.9667207792207791
53.000000,0.9814814814814814
54.000000,0.979020979020979
55.000000,0.9668181818181818
56.000000,0.9635416666666667
57.000000,0.9717432950191571
58.000000,0.984007996001999
59.000000,0.9646107178968656
60.000000,0.9759590792838875
61.000000,0.9648033126293997
62.000000,0.9837662337662338
63.000000,0.9748083242059147
64.000000,0.9584257206208426
65.000000,0.9545454545454546
66.000000,0.9670781893004116
67.000000,0.9488095238095238
68.000000,0.9698613622664256
69.000000,0.9734177215189874
70.000000,0.9692307692307692
71.000000,0.9727272727272727
72.000000,0.980921052631579
73.000000,0.9606666666666667
74.000000,0.9712280701754386
75.000000,0.9623044096728307
76.000000,0.9917417417417417
77.000000,0.9650238473767886
78.000000,0.9645447219983884
79.000000,0.977124183006536
80.000000,0.9875724937862469
81.000000,0.9577464788732395
82.000000,0.9955357142857143
83.000000,0.9882246376811594
84.000000,0.996135265700483
85.000000,0.9862745098039216
86.000000,0.9880597014925374
87.000000,0.9989339019189765
88.000000,0.9988518943742823
89.000000,0.9676616915422885
90.000000,0.9381313131313131
91.000000,0.9948717948717949
92.000000,0.99609375
93.000000,0.9907407407407407
94.000000,0.9855699855699855
95.000000,0.9926686217008798
96.000000,0.9985096870342772
97.000000,0.9878787878787878
98.000000,0.9933333333333334
99.000000,1.0
100.000000,1.0
101.000000,1.0
102.000000,1.0
103.000000,1.0
104.000000,1.0
105.000000,1.0
106.000000,1.0
107.000000,1.0
108.000000,1.0
109.000000,1.0
110.000000,1.0
111.000000,1.0
112.000000,1.0
113.000000,1.0
114.000000,1.0
115.000000,1.0
116.000000,1.0
117.000000,1.0
118.000000,1.0
119.000000,1.0
120.000000,1.0
121.000000,1.0
122.000000,1.0
123.000000,1.0
124.000000,1.0
125.000000,1.0
126.000000,1.0
127.000000,1.0
128.000000,1.0
129.000000,1.0
130.000000,1.0
131.000000,1.0
132.000000,1.0
133.000000,1.0
134.000000,1.0
135.000000,1.0
136.000000,1.0
137.000000,1.0
138.000000,1.0
139.000000,1.0
140.000000,None
141.000000,None
142.000000,None
143.000000,None
144.000000,None
145.000000,None
146.000000,None
147.000000,None
148.000000,None
149.000000,None
150.000000,None
151.000000,None
152.000000,None
153.000000,None
154.000000,None
155.000000,None
156.000000,None
157.000000,None
158.000000,None
159.000000,None
160.000000,None
161.000000,None
162.000000,None
163.000000,None
164.000000,None
165.000000,None
166.000000,None
167.000000,None
168.000000,None
